Unicode Code,Glyph,Type,Case,Transformations,Base,Additions
U+0250,ɐ,Letter,Small,Turned,A,
U+0251,ɑ,Letter,Small,None,ALPHA,
U+0252,ɒ,Letter,Small,Turned,ALPHA,
U+0253,ɓ,Letter,Small,None,B,HOOK
U+0254,ɔ,Letter,Small,None,OPEN O,
U+0255,ɕ,Letter,Small,None,C,CURL
U+0256,ɖ,Letter,Small,None,D,TAIL
U+0257,ɗ,Letter,Small,None,D,HOOK
U+0258,ɘ,Letter,Small,Reversed,E,
U+0259,ə,Letter,Small,None,SCHWA,
U+025A,ɚ,Letter,Small,None,SCHWA,HOOK
U+025B,ɛ,Letter,Small,None,OPEN E,
U+025C,ɜ,Letter,Small,Reversed,OPEN E,
U+025D,ɝ,Letter,Small,Reversed,OPEN E,HOOK
U+025E,ɞ,Letter,Small,Reversed,CLOSED  OPEN E,
U+025F,ɟ,Letter,Small,None,DOTLESS J,STROKE
U+0260,ɠ,Letter,Small,None,G,HOOK
U+0261,ɡ,Letter,Small,None,SCRIPT G,
U+0262,ɢ,Letter,SmallCap,None,G,
U+0263,ɣ,Letter,Small,None,GAMMA,
U+0264,ɤ,Letter,Small,None,RAMS HORN,
U+0265,ɥ,Letter,Small,Turned,H,
U+0266,ɦ,Letter,Small,None,H,HOOK
U+0267,ɧ,Letter,Small,None,HENG,HOOK
U+0268,ɨ,Letter,Small,None,I,STROKE
U+0269,ɩ,Letter,Small,None,IOTA,
U+026A,ɪ,Letter,SmallCap,None,I,
U+026B,ɫ,Letter,Small,None,L,MIDDLE TILDE
U+026C,ɬ,Letter,Small,None,L,BELT
U+026D,ɭ,Letter,Small,None,L,RETROFLEX HOOK
U+026E,ɮ,Letter,Small,None,LEZH,
U+026F,ɯ,Letter,Small,Turned,M,
U+0270,ɰ,Letter,Small,Turned,M,LONG LEG
U+0271,ɱ,Letter,Small,None,M,HOOK
U+0272,ɲ,Letter,Small,None,N,LEFT HOOK
U+0273,ɳ,Letter,Small,None,N,RETROFLEX HOOK
U+0274,ɴ,Letter,SmallCap,None,N,
U+0275,ɵ,Letter,Small,None,BARRED O,
U+0276,ɶ,Letter,SmallCap,None,OE,
U+0277,ɷ,Letter,Small,None,CLOSED OMEGA,
U+0278,ɸ,Letter,Small,None,PHI,
U+0279,ɹ,Letter,Small,Turned,R,
U+027A,ɺ,Letter,Small,Turned,R,LONG LEG
U+027B,ɻ,Letter,Small,Turned,R,HOOK
U+027C,ɼ,Letter,Small,None,R,LONG LEG
U+027D,ɽ,Letter,Small,None,R,TAIL
U+027E,ɾ,Letter,Small,None,R,FISHHOOK
U+027F,ɿ,Letter,Small,Reversed,R,FISHHOOK
U+0280,ʀ,Letter,SmallCap,None,R,
U+0281,ʁ,Letter,SmallCap,None,INVERTED R,
U+0282,ʂ,Letter,Small,None,S,HOOK
U+0283,ʃ,Letter,Small,None,ESH,
U+0284,ʄ,Letter,Small,None,DOTLESS J,STROKE AND HOOK
U+0285,ʅ,Letter,Small,Reversed,SQUAT  ESH,
U+0286,ʆ,Letter,Small,None,ESH,CURL
U+0287,ʇ,Letter,Small,Turned,T,
U+0288,ʈ,Letter,Small,None,T,RETROFLEX HOOK
U+0289,ʉ,Letter,Small,None,U BAR,
U+028A,ʊ,Letter,Small,None,UPSILON,
U+028B,ʋ,Letter,Small,None,V,HOOK
U+028C,ʌ,Letter,Small,Turned,V,
U+028D,ʍ,Letter,Small,Turned,W,
U+028E,ʎ,Letter,Small,Turned,Y,
U+028F,ʏ,Letter,SmallCap,None,Y,
U+0290,ʐ,Letter,Small,None,Z,RETROFLEX HOOK
U+0291,ʑ,Letter,Small,None,Z,CURL
U+0292,ʒ,Letter,Small,None,EZH,
U+0293,ʓ,Letter,Small,None,EZH,CURL
U+0294,ʔ,Letter,None,None,GLOTTAL STOP,
U+0295,ʕ,Letter,None,None,PHARYNGEAL VOICED FRICATIVE,
U+0296,ʖ,Letter,None,None,INVERTED GLOTTAL STOP,
U+0297,ʗ,Letter,None,None,STRETCHED C,
U+0298,ʘ,Letter,None,None,BILABIAL CLICK,
U+0299,ʙ,Letter,SmallCap,None,B,
